Date,Plug-In Hybrid Electric Vehicle (PHEV) Count,Battery Electric Vehicle (BEV) Count,Electric Vehicle (EV) Total
January 31 2017,8399,14823,23222
February 28 2017,8613,15307,23920
March 31 2017,8834,15713,24547
April 30 2017,9017,16234,25251
May 31 2017,9238,16714,25952
June 30 2017,9447,17138,26585
July 31 2017,9633,17544,27177
August 31 2017,9860,17843,27703
September 30 2017,10087,18238,28325
October 31 2017,10362,18685,29047
November 30 2017,10596,19034,29630
December 31 2017,10826,19336,30162
January 31 2018,11246,19868,31114
February 28 2018,11542,20101,31643
March 31 2018,11872,20527,32399
April 30 2018,12216,21055,33271
May 31 2018,12637,21831,34468
June 30 2018,13021,22554,35575
July 31 2018,13315,23090,36405
August 31 2018,13623,23645,37268
September 30 2018,13959,24246,38205
October 31 2018,14316,25606,39922
November 30 2018,14696,26886,41582
December 31 2018,15027,27833,42860
January 31 2019,15408,29226,44634
February 28 2019,15584,29790,45374
March 31 2019,15736,30128,45864
April 30 2019,15997,31162,47159
May 31 2019,16275,31851,48126
June 30 2019,16510,32673,49183
July 31 2019,16789,33639,50428
August 31 2019,17005,34396,51401
September 30 2019,17240,35187,52427
October 31 2019,17523,36780,54303
November 30 2019,17716,37230,54946
December 31 2019,17877,37878,55755
January 31 2020,18081,39908,57989
February 29 2020,18175,40373,58548
March 31 2020,18260,41093,59353
April 30 2020,18175,41409,59584
May 31 2020,18138,41337,59475
June 30 2020,18170,41544,59714
July 31 2020,18232,42872,61104
August 31 2020,18261,43327,61588
September 30 2020,18295,43514,61809
October 31 2020,18213,44048,62261
